state,year,total_votes,n_parties_inside_threshold,cumsum_pct,n_outside_threshold,outside_vote_pct,unk_outside_threshold,outside_labels
karnataka,1982,100523,4,100.0,0,0.0,0,
karnataka,1983,12919459,4,96.9,8,3.1,0,ADMK | CPI | CPM | ICJ | ICS | LKD | MUL | RPI
karnataka,1984,13644136,4,98.4,3,1.6,0,CPI | CPM | LKD
karnataka,1985,14712727,4,97.8,4,2.2,0,CPI | CPM | ICS | LKD
karnataka,1986,555919,3,100.0,0,0.0,0,
karnataka,1989,36680922,7,97.8,18,2.2,0,ADK | BRP | BSP | CPI | CPM | DMM | KGP | KNP | LKD (B) | LKD(B) | MUL | RPI | RPK | SHS | SRP | SSD | SUCI | SVP
karnataka,1991,15575328,5,95.8,17,4.2,0,BBP | BKUS | BSP | CKN | CPI | CPM | DDP | IND | JNP | KDP | KNP | LKD | MSD | PBI | RPK | RSP | SUP
karnataka,1992,210279,1,100.0,0,0.0,0,
karnataka,1993,122202,1,100.0,0,0.0,0,
karnataka,1994,20705203,6,96.7,17,3.3,0,ADMK | BAMS | BRP | BSP | CPI | CPM | INL | IUML | JP | KCVP | KDP | KP | KRS | RPI | RPI(K) | SJP | SP
karnataka,1995,163513,1,100.0,0,0.0,0,
