entity_id,time,value,sex,source_id,processing_level
IN-AC-2008-tamil-nadu-3939,2021,117488,male,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3939,2021,3,third_gender,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3940,2021,114043,female,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3940,2021,112612,male,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3940,2021,3,third_gender,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3941,2021,102343,female,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3941,2021,93172,male,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3941,2021,2,third_gender,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3942,2021,121722,female,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3942,2021,108232,male,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3942,2021,41,third_gender,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3943,2021,104327,female,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3943,2021,98636,male,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3943,2021,31,third_gender,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3944,2021,135856,female,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3944,2021,132135,male,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3944,2021,8,third_gender,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3945,2021,124618,female,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3945,2021,119153,male,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3945,2021,3,third_gender,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3946,2021,114187,female,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3946,2021,110869,male,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3946,2021,34,third_gender,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3947,2021,121216,female,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3947,2021,118085,male,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3947,2021,17,third_gender,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3948,2021,171659,female,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3948,2021,171258,male,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3948,2021,72,third_gender,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3949,2021,136414,female,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3949,2021,130891,male,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3949,2021,61,third_gender,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3950,2021,117011,female,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3950,2021,120876,male,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3950,2021,37,third_gender,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3951,2021,117600,female,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3951,2021,117810,male,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3951,2021,41,third_gender,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3952,2021,121624,female,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3952,2021,124431,male,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3952,2021,38,third_gender,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3953,2021,102645,female,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3953,2021,96947,male,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3953,2021,26,third_gender,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3954,2021,172622,female,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3954,2021,163848,male,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3954,2021,57,third_gender,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3955,2021,113708,female,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3955,2021,107416,male,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3955,2021,50,third_gender,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3957,2021,140452,female,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3957,2021,135052,male,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3957,2021,12,third_gender,src-99455a24d3c4,minor
